,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,label
0,GO_Biological_Process_2021,regulation of apoptotic process (GO:0042981),72/742,5.0599147635422135e-09,1.953127098727294e-05,0,0,2.265835957825552,43.28180858692564,TOP2A;GSK3B;RBM25;TRIO;TFRC;CITED2;DDX42;MYDGF;DSTYK;SLK;SPTLC1;FAM162A;CFL1;PIM1;MYO18A;AKT1;IFT57;PHLDA1;CTSB;MEF2C;HSP90AA1;APAF1;DAPK1;ACTN1;PAWR;MIF;SIRT1;YWHAZ;NME1;DNAJC3;DDAH2;BIRC6;TMBIM6;EEF1E1;PTMA;PPIA;HDAC2;FSTL1;RTN4;MTDH;HSP90B1;HSPD1;BCLAF1;UBB;PAK2;TXNDC5;MAP4K4;EGLN3;XBP1;NPM1;ANGPT1;BAD;PLK2;HMGA2;PA2G4;RRP1B;IGF1;GADD45G;BMP4;RSL1D1;AHI1;DAB2;HNRNPK;SON;KRT18;TFAP4;APC;APEX1;CDK1;NF1;UBE2O;NAA16,Biological_Process
1,GO_Biological_Process_2021,negative regulation of apoptotic process (GO:0043066),52/485,3.05434316822409e-08,5.894882314672493e-05,0,0,2.5072649882455287,43.3860046422804,YWHAE;GSK3B;TFRC;CITED2;MYDGF;DSTYK;MDK;CFL1;PIM1;MYO18A;AKT1;MEF2C;PRKCH;F2R;PRKCA;MIF;SIRT1;YWHAZ;DNAJC3;DDAH2;BIRC6;TMBIM6;ITGA5;PTMA;HDAC2;SLC30A10;FSTL1;MTDH;HSP90B1;HSPD1;UBB;FNIP1;PAK2;TXNDC5;SNX6;MAP4K4;XBP1;NPM1;ANGPT1;PLK2;HMGA2;PA2G4;IGF1;BMP4;AHI1;DAB2;HNRNPK;SON;KRT18;CDK1;UBE2O;NAA16,Biological_Process
2,GO_Biological_Process_2021,negative regulation of programmed cell death (GO:0043069),43/381,1.1536959432589717e-07,0.00014844221136598771,0,0,2.6429345434724074,42.22120969429934,GSK3B;HDAC2;TFRC;CITED2;FSTL1;MTDH;HSP90B1;HSPD1;MYDGF;DSTYK;UBB;CFL1;PIM1;MYO18A;AKT1;PAK2;MAP4K4;TXNDC5;XBP1;NPM1;GPX4;ANGPT1;PLK2;HMGA2;MIF;IGF1;PA2G4;SIRT1;YWHAZ;BMP4;DNAJC3;AHI1;DAB2;HNRNPK;KRT18;SON;DDAH2;CDK1;UBE2O;BIRC6;TMBIM6;NAA16;PTMA,Biological_Process
3,GO_Biological_Process_2021,negative regulation of gene expression (GO:0010629),38/322,2.011789451417168e-07,0.0001941376820617567,0,0,2.772347106924105,42.74701701861471,BTG2;SPI1;PPP1R11;CITED2;ROCK2;EIF4A3;PPM1D;HIF1A;GIGYF2;YY1;PTBP1;FXR2;STC2;IGF2BP1;IGF2BP2;CD34;SUZ12;SRGN;HELLS;MEF2C;DAPK1;DNMT3A;CNPY2;DICER1;MIF;IGF1;ATP2B1;SIRT1;RUNX1;RPS26;BMP4;TNRC6C;MYCN;ID2;NCL;AGO2;TMBIM6;BMPR1A,Biological_Process
4,GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",34/274,2.6910044562753894e-07,0.00020774554402446007,0,0,2.9292307692307693,44.31393362863969,DDX5;DDX46;DHX9;EIF4A3;CELF4;DDX42;PRPF8;PNN;PTBP1;POLR2D;POLR2E;DHX16;POLR2G;SNRPD3;TXNL4A;HNRNPA1;DDX17;SRRM2;PRMT5;SCAF11;PRPF4B;HNRNPK;DDX39B;HNRNPH1;PSPC1;SRSF2;SRSF3;HNRNPH3;PABPC1;SNRPF;SRSF5;CDK13;SRSF7;RBM22,Biological_Process
5,GO_Biological_Process_2021,small GTPase mediated signal transduction (GO:0007264),19/106,4.859879931443367e-07,0.00027302450536709574,0,0,4.478546132339236,65.10499200300949,CDKN1A;ARL3;PLK2;IGF1;MAPK14;RASGRP3;BCR;CCDC88A;ARHGAP31;RIT1;G3BP1;CDK2;NF1;RAB18;GRB2;PRKD1;RGL1;RAPGEF5;RREB1,Biological_Process
6,GO_Biological_Process_2021,platelet aggregation (GO:0070527),11/36,4.951221599921426e-07,0.00027302450536709574,0,0,8.974962486602358,130.3026456829207,CSRP1;ITGB3;ACTN1;PLEK;FN1;MYH9;CLIC1;PPIA;MYL12A;VCL;FERMT3,Biological_Process
7,GO_Biological_Process_2021,homotypic cell-cell adhesion (GO:0034109),12/44,5.931712094117114e-07,0.0002862051085411508,0,0,7.65450643776824,109.74865045681564,CSRP1;ITGB3;ACTN1;PLEK;FN1;MYH9;CLIC1;PPIA;MYL12A;VCL;FERMT3;TJP2,Biological_Process
8,GO_Biological_Process_2021,regulation of DNA replication (GO:0006275),13/53,7.706052112122104e-07,0.00033050401280879246,0,0,6.638238453276047,93.44043953486938,USP37;ATAD5;DHX9;EHMT2;NUCKS1;CDC6;SMC3;TERF1;GTPBP4;WAPL;CCDC88A;FBXO5;DNA2,Biological_Process
9,GO_Biological_Process_2021,Ras protein signal transduction (GO:0007265),22/142,8.589776702160968e-07,0.0003315653807034134,0,0,3.76529284164859,52.59181403006126,CDKN1A;ROCK1;ROCK2;PLK2;IGF1;MAPK14;RASGRP3;RAP1B;RAP2A;RIT1;ABI2;CFL1;G3BP1;CDK2;CDC42EP3;ELMO1;NF1;CDC42EP1;GRB2;PRKD1;RREB1;KPNB1,Biological_Process
