,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,label
0,GO_Cellular_Component_2021,nucleus (GO:0005634),325/4484,3.940520955807097e-18,7.038937213247996e-16,0,0,1.8806267506363568,75.36652839447609,EIF4A1;TCERG1;SPI1;PANK1;JPT2;EHMT2;EIF4A3;PITPNA;IFI35;ADARB1;SMC6;NUDT4;ELK3;FTH1;GPBP1;CDC27;MYB;DPF2;AKT1;PWWP2A;FBXO5;SNRPD3;GLUL;DDX17;SRRM2;MEF2C;RBFOX2;DAPK1;IFRD1;HUS1;DICER1;CSNK1E;GTPBP4;RUNX1;DDX39B;PSME4;TFAM;ZSCAN26;KIF20A;DNA2;KIF20B;PFN1;DHX9;ZBTB1;OAZ1;HIF1A;SAMSN1;MTDH;FXR2;RACGAP1;PDCD11;RREB1;SCAI;STAT5B;NFE2;XBP1;PLK2;INTS2;RAB3IP;PBX2;CDC6;PA2G4;PBX1;WAPL;GADD45G;FAM111A;HNRNPK;TDP2;ID2;AGO2;GRB2;HBP1;INTS6;CDK12;CALM1;CDK13;CALM2;FERMT2;TOP2A;BTG3;TOP2B;BTG2;CDKN1A;PPP1R11;CITED2;PHF23;BRCA1;GLI3;MED13;CSRP2;XPO1;CSRP1;CTSL;PBK;SPIN1;DHX16;TIMP3;CLIC1;APPL1;SS18;BRD2;HELLS;PRMT5;BRD1;DUSP3;WDR37;SYK;PARP1;SLC39A11;TET1;PAWR;CACYBP;TERF1;SIRT1;NME1;RNF168;ZEB1;INCENP;HNRNPH1;SDE2;PABPC1;HNRNPH3;RAPGEF5;EEF1E1;PTMA;DTYMK;DOT1L;NT5C;BCLAF1;RNF138;NSD1;RPL15;RPS2;GPC6;PMS1;SUZ12;SVIL;EGLN3;NPM1;TRMT10C;MBD6;ATAD5;NFYA;PCGF5;CSNK1A1;NFYB;PTGES3;ATAD2;STAT3;RRP1B;DEF6;CENPF;GFI1B;TFAP4;APEX1;CCNG1;TTC3;TJP2;MIDN;PRDM6;HDLBP;UBE2D1;NUCKS1;ETS2;IPO5;YY1;CCND3;TUBB6;AMMECR1L;SALL3;BASP1;SESN1;CFL1;PIM1;KMT5B;KPNA2;TXNL4A;PHLDA1;HMGN1;TLE4;UBE2E1;PRPF4B;MYCN;PSPC1;NCL;SRSF2;TIMELESS;ERH;MATR3;SNRPF;ERG;SRSF7;PPIA;KPNB1;IPPK;DDX5;ARL3;CUL3;PRPF8;HSP90B1;ZFP36L1;STIP1;CCNB1;UBB;TPR;SMYD2;BPTF;ESRRA;SMAD4;GOT1;SMURF2;CBX1;HMGA1;CHCHD10;HMGA2;ARPC5;FOXN3;TDRD3;SMAD7;DRAP1;DIAPH1;FER;ARPC2;CDK4;CDK2;MDM2;UBE2N;NABP2;CDK1;NF1;UBE2O;TCF3;COPS8;MDM1;FGF10;RNF187;EIF4G1;YWHAE;RBM27;GSK3B;KDM5B;USP37;HSP90AB1;RBM26;NAA40;DDX46;CELF2;ITGB3;CHD8;MCM9;USP34;CELF4;DDX42;DPY30;MCM10;AFF3;CHD1;LMNB1;PTBP1;EXO1;HMG20B;CEP290;LBR;ACTR3;TTC37;EMX2;HSP90AA1;GPX4;DCXR;DNMT3A;AXIN1;UTP18;YWHAZ;ASPM;ELF1;PTP4A3;C1D;RPL37A;MYH9;LUC7L3;BIRC6;TMBIM6;USP40;PFDN2;DTL;RBMS2;RBM22;HDAC2;UHRF2;CARNMT1;NUFIP2;UHRF1;PDHB;PPM1D;CXXC5;AURKB;HDAC7;MTA1;TNKS2;MCRIP2;MCRIP1;POLR2D;NRIP1;IGF2BP1;POLR2E;HES1;E2F3;POLR2G;IGF2BP2;ASCC3;HNRNPA1;ARID3A;MAPK14;HNRNPAB;KLF7;APC;RANGRF;POLR3G;STUB1;EIF3E;NAA16;CEBPZ;SSBP2;PFKP;NUP37,Cellular_Component
1,GO_Cellular_Component_2021,intracellular membrane-bounded organelle (GO:0043231),363/5192,4.3720106914583835e-18,7.038937213247996e-16,0,0,1.8407152854829667,73.57579882780098,EIF4A1;TCERG1;SPI1;SPARC;TFRC;PANK1;JPT2;EHMT2;EIF4A3;PITPNA;IFI35;ADARB1;SMC6;NUDT4;ELK3;FTH1;GPBP1;BSG;CDC27;MYB;DPF2;AKT1;PWWP2A;FBXO5;SNRPD3;GLUL;RPS12;DDX17;SRRM2;STARD3;MEF2C;RBFOX2;DAPK1;IFRD1;P3H2;HUS1;DICER1;CSNK1E;GTPBP4;RUNX1;NISCH;MARF1;DDX39B;PSME4;TFAM;ZSCAN26;KIF20A;DNA2;KIF20B;PFN1;DHX9;MGST3;ZBTB1;OAZ1;HIF1A;SAMSN1;MTDH;FXR2;RACGAP1;PDCD11;RREB1;SCAI;STAT5B;NFE2;XBP1;PLK2;INTS2;RAB3IP;PBX2;CDC6;PA2G4;PBX1;WAPL;GADD45G;FAM111A;HNRNPK;TDP2;ID2;AGO2;GRB2;HBP1;INTS6;CDK12;CALM1;CDK13;CALM2;FERMT2;ITM2B;TOP2A;BTG3;TOP2B;BTG2;CDKN1A;PPP1R11;CITED2;PHF23;PTPRK;BRCA1;LITAF;GLI3;MED13;CSRP2;XPO1;CSRP1;CTSL;PBK;SPIN1;TSPO;DHX16;TIMP3;CLIC1;SLC18A2;APPL1;SS18;BRD2;HELLS;PRMT5;BRD1;DUSP3;WDR37;STARD3NL;SYK;PARP1;SLC39A11;TET1;PAWR;CACYBP;TERF1;SIRT1;NME1;MRAP;RNF168;ZEB1;INCENP;HNRNPH1;SDE2;SGK3;PABPC1;HNRNPH3;RAPGEF5;EEF1E1;PTMA;CD63;DTYMK;ZDHHC20;DOT1L;NT5C;BCLAF1;RNF138;NSD1;CTNNA1;RPL15;RPS2;GPC6;PMS1;SUZ12;SVIL;EGLN3;NPM1;TRMT10C;MBD6;ATAD5;NFYA;PCGF5;CSNK1A1;NFYB;PTGES3;ATAD2;STAT3;RRP1B;DEF6;CENPF;GFI1B;TFAP4;APEX1;CCNG1;TTC3;TJP2;MIDN;PRDM6;HDLBP;UBE2D1;NUCKS1;ETS2;IPO5;YY1;CCND3;TUBB6;AMMECR1L;SALL3;BASP1;SESN1;CFL1;PIM1;KMT5B;KPNA2;TXNL4A;PHLDA1;HMGN1;TLE4;F2R;UBE2E1;PRPF4B;MYCN;PSPC1;NCL;SRSF2;TIMELESS;ERH;MATR3;DENND6A;SNRPF;ERG;SRSF7;PPIA;KPNB1;PPIC;DGKH;IPPK;DDX5;ARL3;CUL3;RHOBTB3;PRPF8;HSP90B1;ZFP36L1;STIP1;CCNB1;UBB;TPR;SMYD2;BPTF;ESRRA;OSBPL8;SMAD4;GOT1;SMURF2;CBX1;HMGA1;CHCHD10;HMGA2;ARPC5;FOXN3;TDRD3;SMAD7;DRAP1;DIAPH1;DAB2;FER;ARPC2;P4HA1;CDK4;CDK2;MDM2;UBE2N;NABP2;CDK1;NF1;UBE2O;TCF3;COPS8;RAB5A;SERINC5;MDM1;FGF10;RNF187;EIF4G1;YWHAE;RBM27;GSK3B;KDM5B;USP37;HSP90AB1;RBM26;NAA40;DDX46;CELF2;ITGB3;CHD8;MCM9;USP34;CELF4;DDX42;DPY30;MCM10;AFF3;RND2;CHD1;LMNB1;PTBP1;EXO1;HMG20B;ME2;CEP290;LBR;ACTR3;TTC37;EMX2;HSP90AA1;GPX4;DCXR;DNMT3A;AXIN1;UTP18;YWHAZ;EPN2;ASPM;ELF1;PTP4A3;RABEP1;C1D;RPL37A;MYH9;LUC7L3;BIRC6;TMBIM6;USP40;PFDN2;TMEM9;DTL;RBMS2;RBM22;HDAC2;UHRF2;CARNMT1;NUFIP2;UHRF1;PDHB;PPM1D;CXXC5;AURKB;HDAC7;MTA1;TNKS2;MCRIP2;MCRIP1;POLR2D;NRIP1;IGF2BP1;POLR2E;HES1;E2F3;POLR2G;IGF2BP2;ASCC3;HNRNPA1;ARID3A;ATP2B1;MAPK14;HNRNPAB;KLF7;PIKFYVE;KLF5;APC;RANGRF;POLR3G;STUB1;EIF3E;NAA16;CEBPZ;SSBP2;PFKP;NUP37,Cellular_Component
2,GO_Cellular_Component_2021,cell-substrate junction (GO:0030055),55/394,5.089152362098259e-13,4.2333667061256067e-11,0,0,3.4158396129687327,96.6904466597795,YWHAE;ITGB3;GDI2;CSRP2;CSRP1;YWHAQ;CFL1;BSG;CAPN2;RPL38;ACTR3;ACTN1;YWHAZ;ENAH;RPL37A;CDC42EP1;MYH9;EVL;ITGA5;PABPC1;EZR;PFN1;PHLDB2;MAPRE2;PPIA;VCL;TWF1;LPP;HSP90B1;RAB21;CNN2;PDLIM1;G3BP1;CTNNA1;FLNB;RSU1;RPS2;MPZL1;PDLIM7;MAP4K4;SVIL;NPM1;HMGA1;ARPC5;IGF2R;DAB2;MARCKS;HNRNPK;ARPC2;PTK7;RPS29;P4HB;FERMT2;FERMT3;LIMS1,Cellular_Component
3,GO_Cellular_Component_2021,intracellular non-membrane-bounded organelle (GO:0043232),111/1158,5.258840628727462e-13,4.2333667061256067e-11,0,0,2.292033145636478,64.8042475089737,EIF4A3;NUCKS1;ADARB1;SMC3;TXN2;BASP1;CDC27;PIM1;RPL36;FBXO5;PHLDA1;MAGI1;SCAF11;GTPBP4;FRMD6;MYCN;BIN2;NCL;SRSF5;KIF20A;UTRN;KIF20B;VCL;LLGL1;KANK3;IPPK;DDX5;DHX9;ZCCHC9;RHOBTB3;TWF1;RAP1B;CNN2;RACGAP1;PDCD11;RAD21;DNAJC21;UTP20;SPTBN1;CCDC137;PNO1;CBX1;CDC6;PA2G4;WAPL;LIN28B;CDK4;RIOX2;MDM2;GRB2;FERMT3;TOP2A;TOP2B;CDKN1A;PINX1;MCM10;BRCA1;RND2;WDR43;GLI3;PTBP1;XPO1;SH3PXD2A;SPIN1;LRRFIP1;PARP1;URB1;TERF1;SIRT1;UTP18;KIF2A;INCENP;CDC42EP3;C1D;CDC42EP1;EEF1E1;DTL;DBN1;ROCK1;ROCK2;NOL7;DDX21;ASAP1;PPM1D;AURKB;PDLIM1;NRIP1;BEND3;DNAJB9;IGF2BP2;RPL15;RPS2;ARFGEF1;SUZ12;NOP58;NPM1;MBD6;MYO10;NIFK;NOC3L;RRP1B;CDC42BPB;NPM3;MZT1;RSL1D1;CENPF;APEX1;TTC3;RAB18;TSR1;P4HB,Cellular_Component
4,GO_Cellular_Component_2021,focal adhesion (GO:0005925),54/387,8.470000655446699e-13,5.4546804221076754e-11,0,0,3.4114181597327664,94.82744856733784,YWHAE;ITGB3;GDI2;CSRP2;CSRP1;YWHAQ;CFL1;BSG;CAPN2;RPL38;ACTR3;ACTN1;YWHAZ;ENAH;RPL37A;CDC42EP1;MYH9;EVL;ITGA5;PABPC1;EZR;PFN1;PHLDB2;MAPRE2;PPIA;VCL;TWF1;LPP;HSP90B1;RAB21;CNN2;PDLIM1;G3BP1;CTNNA1;FLNB;RSU1;RPS2;MPZL1;PDLIM7;MAP4K4;SVIL;NPM1;HMGA1;ARPC5;IGF2R;DAB2;MARCKS;HNRNPK;ARPC2;PTK7;RPS29;P4HB;FERMT2;LIMS1,Cellular_Component
5,GO_Cellular_Component_2021,nucleolus (GO:0005730),73/733,1.2798223752519927e-09,6.868380080519027e-08,0,0,2.3360609539714017,47.83445616742824,TOP2A;TOP2B;CDKN1A;EIF4A3;PINX1;MCM10;NUCKS1;ADARB1;GLI3;WDR43;TXN2;PTBP1;XPO1;RPL36;SPIN1;PIM1;PHLDA1;MAGI1;PARP1;SCAF11;URB1;TERF1;SIRT1;UTP18;GTPBP4;MYCN;KIF2A;NCL;C1D;POLR1C;SRSF5;KIF20B;EEF1E1;DTL;IPPK;DDX5;DHX9;ZCCHC9;NOL7;TWF1;DDX21;PPM1D;PDCD11;DNAJC21;NRIP1;BEND3;POLR2E;DNAJB9;UTP20;RPS2;SPTBN1;SUZ12;ARFGEF1;NOP58;NPM1;MYO10;NIFK;PNO1;CCDC137;CDC6;PA2G4;NOC3L;RRP1B;NPM3;RSL1D1;LIN28B;CDK4;APEX1;RIOX2;TTC3;MDM2;TSR1;GRB2,Cellular_Component
6,GO_Cellular_Component_2021,nuclear lumen (GO:0031981),72/745,5.996205904177172e-09,2.758254715921499e-07,0,0,2.2553675859154545,42.69893244553897,TOP2A;TOP2B;CDKN1A;EIF4A3;PINX1;MCM10;NUCKS1;ADARB1;GLI3;WDR43;TXN2;PTBP1;XPO1;RPL36;SPIN1;PIM1;PHLDA1;MAGI1;PARP1;SCAF11;URB1;TERF1;SIRT1;UTP18;GTPBP4;MYCN;KIF2A;NCL;C1D;SRSF5;KIF20B;EEF1E1;DTL;IPPK;DDX5;DHX9;ZCCHC9;NOL7;TWF1;DDX21;PPM1D;PDCD11;DNAJC21;NRIP1;BEND3;DNAJB9;UTP20;RPS2;SPTBN1;SUZ12;ARFGEF1;NOP58;NPM1;MYO10;NIFK;PNO1;CCDC137;HMGA2;CDC6;PA2G4;NOC3L;RRP1B;NPM3;RSL1D1;LIN28B;CDK4;APEX1;RIOX2;TTC3;MDM2;TSR1;GRB2,Cellular_Component
7,GO_Cellular_Component_2021,cytoskeleton (GO:0005856),60/600,3.4374528250935096e-08,1.3835747621001376e-06,0,0,2.3273001508295628,39.99686403800154,SLC4A1;RND2;SIPA1L1;BASP1;CFL2;CFL1;AKT1;LRRFIP1;ACTR3;DAPK1;PAWR;ANK3;MTSS1;PJA2;CD2AP;NISCH;FRMD6;CDC42EP3;SPECC1L;CDC42EP1;MYH9;TMEM9;UTRN;EZR;PHLDB2;MAPRE2;LLGL1;DBN1;VCL;DGKH;KANK3;ROCK1;ROCK2;DHX9;ARL3;RHOBTB3;TWF1;HMMR;IQGAP2;CNN2;PDLIM1;ABLIM1;ABL2;FLNB;IGF2BP2;SPTBN1;PDLIM7;ESRRA;SVIL;ARPC5;CDC42BPB;NPM3;MARCKS;FER;MYO1C;ARPC2;TAOK1;P4HB;PTPN7;INTS6,Cellular_Component
8,GO_Cellular_Component_2021,cyclin-dependent protein kinase holoenzyme complex (GO:0000307),10/30,6.631135403368706e-07,2.3724728887608034e-05,0,0,10.190578158458244,144.97442188301812,CDKN1A;CCNB1;CCND3;CDK4;CCNG1;CDK2;CDK1;CKS2;CDK12;CDK13,Cellular_Component
9,GO_Cellular_Component_2021,actin cytoskeleton (GO:0015629),36/316,9.82744131191151e-07,2.876760093123188e-05,0,0,2.658653241032096,36.77692973324834,DHX9;TWF1;ASAP1;IQGAP2;ABLIM1;SIPA1L1;SH3PXD2A;CFL2;CFL1;CAPN2;ABL2;FLNB;PDLIM7;ACTR3;SVIL;DAPK1;ACTN1;PAWR;ARPC5;NPM3;MTSS1;CD2AP;FER;MARCKS;MYO1C;BIN2;ARPC2;CDC42EP3;SPECC1L;MYH9;INTS6;EZR;LLGL1;DBN1;FERMT3;DGKH,Cellular_Component
