,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,label
0,GO_Molecular_Function_2021,fibroblast growth factor binding (GO:0017134),2/21,0.002429043875274,0.1755769070297156,0,0,30.821981424148607,185.55626686856675,GLG1;FGFR1,Molecular_Function
1,GO_Molecular_Function_2021,cation transmembrane transporter activity (GO:0008324),2/48,0.012278052782924,0.1755769070297156,0,0,12.713554987212277,55.93890375661875,SLC7A5;PKD1L3,Molecular_Function
2,GO_Molecular_Function_2021,amino acid transmembrane transporter activity (GO:0015171),2/49,0.0127718420396353,0.1755769070297156,0,0,12.442428035043804,54.25536138345729,SLC7A5;SLC7A6,Molecular_Function
3,GO_Molecular_Function_2021,L-amino acid transmembrane transporter activity (GO:0015179),2/53,0.0148320510028186,0.1755769070297156,0,0,11.464244521337948,48.27553049864857,SLC7A5;SLC7A6,Molecular_Function
4,GO_Molecular_Function_2021,carboxylic acid transmembrane transporter activity (GO:0046943),2/57,0.0170252954843732,0.1755769070297156,0,0,10.628342245989304,43.2898232833362,SLC7A5;SLC7A6,Molecular_Function
5,GO_Molecular_Function_2021,L-leucine transmembrane transporter activity (GO:0015190),1/5,0.0173795135752015,0.1755769070297156,0,0,72.19565217391305,292.57021981956115,SLC7A5,Molecular_Function
6,GO_Molecular_Function_2021,dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579),1/5,0.0173795135752015,0.1755769070297156,0,0,72.19565217391305,292.57021981956115,STT3B,Molecular_Function
7,GO_Molecular_Function_2021,fibroblast growth factor-activated receptor activity (GO:0005007),1/5,0.0173795135752015,0.1755769070297156,0,0,72.19565217391305,292.57021981956115,FGFR1,Molecular_Function
8,GO_Molecular_Function_2021,U2 snRNA binding (GO:0030620),1/5,0.0173795135752015,0.1755769070297156,0,0,72.19565217391305,292.57021981956115,SF3B3,Molecular_Function
9,GO_Molecular_Function_2021,oligosaccharyl transferase activity (GO:0004576),1/6,0.0208195304784689,0.1755769070297156,0,0,57.7536231884058,223.6141610659621,STT3B,Molecular_Function
