,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2019_Mouse,Cholesterol metabolism,2/49,0.002448238177796,0.119963670712008,0,0,30.27811550151976,182.0437366477304,APOA1;LDLR
1,KEGG_2019_Mouse,Toxoplasmosis,2/108,0.0113879486023853,0.2122690327009645,0,0,13.38544474393531,59.90253727027526,HSPA8;LDLR
2,KEGG_2019_Mouse,Protein processing in endoplasmic reticulum,2/163,0.0247331074423088,0.2122690327009645,0,0,8.78837622005324,32.51358696291819,HSPA8;PRKCSH
3,KEGG_2019_Mouse,Other glycan degradation,1/18,0.0266695046006179,0.2122690327009645,0,0,40.47261663286004,146.68225415832842,HEXA
4,KEGG_2019_Mouse,Glycosaminoglycan degradation,1/21,0.0310470628007074,0.2122690327009645,0,0,34.39655172413793,119.43346355828848,HEXA
5,KEGG_2019_Mouse,Vitamin digestion and absorption,1/24,0.035405587532064,0.2122690327009645,0,0,29.90554722638681,99.91101302805887,APOA1
6,KEGG_2019_Mouse,Protein export,1/28,0.0411874839013458,0.2122690327009645,0,0,25.46998722860792,81.2396025067177,SRPR
7,KEGG_2019_Mouse,Pyruvate metabolism,1/38,0.0554960388319167,0.2122690327009645,0,0,18.576887232059647,53.71402231134463,PKM
8,KEGG_2019_Mouse,African trypanosomiasis,1/39,0.0569154885110809,0.2122690327009645,0,0,18.087114337568057,51.84106589215322,APOA1
9,KEGG_2019_Mouse,Fat digestion and absorption,1/40,0.058332876023497,0.2122690327009645,0,0,17.622458001768347,50.075790447561154,APOA1
10,KEGG_2019_Mouse,Endocytosis,2/269,0.0612691091953719,0.2122690327009645,0,0,5.271000535045479,14.719160893019216,HSPA8;LDLR
11,KEGG_2019_Mouse,Glycosphingolipid biosynthesis,1/45,0.0653889820318286,0.2122690327009645,0,0,15.615987460815049,42.59106770539062,HEXA
12,KEGG_2019_Mouse,Type II diabetes mellitus,1/48,0.0695980839810058,0.2122690327009645,0,0,14.617021276595745,38.95462833164002,PKM
13,KEGG_2019_Mouse,Amino sugar and nucleotide sugar metabolism,1/49,0.070997041562065,0.2122690327009645,0,0,14.311781609195402,37.85633785017516,HEXA
14,KEGG_2019_Mouse,N-Glycan biosynthesis,1/50,0.0723939657090184,0.2122690327009645,0,0,14.019000703729768,36.80874147674154,DPAGT1
15,KEGG_2019_Mouse,Ovarian steroidogenesis,1/57,0.0821157376538747,0.2122690327009645,0,0,12.26231527093596,30.65119706904604,LDLR
16,KEGG_2019_Mouse,Legionellosis,1/58,0.0834964966939316,0.2122690327009645,0,0,12.04658197217181,29.91106798113016,HSPA8
17,KEGG_2019_Mouse,Central carbon metabolism in cancer,1/64,0.091738983515608,0.2122690327009645,0,0,10.896004378763,26.028461010792668,PKM
18,KEGG_2019_Mouse,Glycolysis / Gluconeogenesis,1/67,0.0958333099563512,0.2122690327009645,0,0,10.399164054336469,24.387547080252187,PKM
19,KEGG_2019_Mouse,RIG-I-like receptor signaling pathway,1/68,0.0971941163755111,0.2122690327009645,0,0,10.243437982501286,23.87791592101611,PIN1
20,KEGG_2019_Mouse,Renal cell carcinoma,1/68,0.0971941163755111,0.2122690327009645,0,0,10.243437982501286,23.87791592101611,ETS1
21,KEGG_2019_Mouse,Cortisol synthesis and secretion,1/69,0.098552942914148,0.2122690327009645,0,0,10.092292089249494,23.385469502095955,LDLR
22,KEGG_2019_Mouse,Bile secretion,1/72,0.1026175710295397,0.2122690327009645,0,0,9.664400194269062,22.00338548313555,LDLR
23,KEGG_2019_Mouse,Inositol phosphate metabolism,1/73,0.1039685058127173,0.2122690327009645,0,0,9.529693486590038,21.572055090315494,MTMR2
