,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2019_Mouse,Bacterial invasion of epithelial cells,8/74,6.220737602712169e-06,0.0011508364565017,0,0,9.24031007751938,110.76934504292905,MAD2L2;SEPT11;ARPC1A;CLTA;WASL;RAC1;WASF2;ACTB
1,KEGG_2019_Mouse,RNA transport,11/167,1.5169540308772602e-05,0.0014031824785614,0,0,5.413725490196079,60.07189483913804,NDC1;POP5;EIF2B3;PABPC4;MAGOH;TACC3;NUP54;EIF2B1;EIF4G3;RAN;EIF3B
2,KEGG_2019_Mouse,Cell cycle,9/123,3.997219177964631e-05,0.0024649518264115,0,0,6.027032561949621,61.0377268891369,ORC5;MAD2L2;CCND2;MCM7;CHEK2;CUL1;MAD1L1;YWHAG;MAD2L1
3,KEGG_2019_Mouse,Spliceosome,8/132,0.0003921290048968861,0.0172535524296968,0,0,4.903725931482871,38.46443233040269,PRPF4;BUD31;MAGOH;TRA2A;SNRPG;DHX15;SRSF4;WBP11
4,KEGG_2019_Mouse,Ribosome,9/170,0.00046631222782964586,0.0172535524296968,0,0,4.257365202890495,32.65678023978666,MRPL20;MRPS15;MRPL1;RPL32;RPL21;RPL22;RPLP0;RPL9;RPL6
5,KEGG_2019_Mouse,Non-alcoholic fatty liver disease (NAFLD),8/151,0.000952853023230958,0.0267781035475957,0,0,4.248062015503876,29.549731322307284,NDUFA4;NDUFB2;PRKAG2;RAC1;COX6A1;BID;SDHB;PRKAB1
6,KEGG_2019_Mouse,Thermogenesis,10/231,0.0010967155972338,0.0267781035475957,0,0,3.4489889705882355,23.506361477208216,RHEB;NDUFA4;ATP5K;NDUFB2;PRKAG2;KRAS;COX6A1;PRKAB1;SDHB;ACTB
7,KEGG_2019_Mouse,DNA replication,4/35,0.0011579720453014,0.0267781035475957,0,0,9.70352130017237,65.60633270395566,RFC3;MCM7;RFC1;RFC2
8,KEGG_2019_Mouse,Choline metabolism in cancer,6/99,0.0020885069414686,0.0390558875890122,0,0,4.873697270471464,30.077076478194293,RHEB;KRAS;WASL;RAC1;RAF1;WASF2
9,KEGG_2019_Mouse,Renal cell carcinoma,5/68,0.0021111290588655,0.0390558875890122,0,0,5.9815727057106365,36.84967231065634,SLC2A1;PTPN11;KRAS;RAC1;RAF1
10,KEGG_2019_Mouse,Nucleotide excision repair,4/43,0.002511720541676,0.0422425727463696,0,0,7.709923664122138,46.15767296760776,RFC3;RFC1;RFC2;RAD23B
11,KEGG_2019_Mouse,Mismatch repair,3/22,0.0029709166314956,0.0458016314022248,0,0,11.836101660996595,68.87291137947287,RFC3;RFC1;RFC2
12,KEGG_2019_Mouse,Salmonella infection,5/78,0.0038410220529284,0.0546606984455203,0,0,5.15955492573348,28.697531116465925,ARPC1A;WASL;RAC1;WASF2;ACTB
13,KEGG_2019_Mouse,Thyroid hormone signaling pathway,6/115,0.0044009109251834,0.0581548943684956,0,0,4.154904728299224,22.54427926356106,RHEB;SLC2A1;KRAS;RAF1;ACTB;MED13L
